gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AARS,5.59560853402527,0.0656405758801652,0.174430698195743,0.376313209538979,0.706684060059643,1
AARS2,12.8319621193763,0.134712785262134,0.174343974885964,0.772683916093157,0.439709467687985,1
AASDH,21.7670830662212,-0.266424789743664,0.161014831978601,-1.65465992461534,0.0979935005547554,1
AASDHPPT,75.4327156606951,-0.0205124645979746,0.132608533009366,-0.154684348981719,0.877070169176688,1
AASS,5.89828574542154,0.0645777223708675,0.176173163880078,0.366558225717204,0.713948573334252,1
AATF,37.0027435163611,0.123661347188015,0.152319615916315,0.811854378991837,0.416875194688828,1
AATK,0.819254376616548,-0.0597323795891954,0.0935208215382828,-0.638706745799318,0.523013723472232,1
ABAT,9.32851202114418,-0.243211511746519,0.178713048540595,-1.36090517023032,0.173543659429828,1
ABCA1,20.2177876022019,-0.238027534335049,0.168777483003957,-1.41030385154795,0.158449981748908,1
ABCA10,0.39870529729729,-0.0652428849990047,0.0742172251766377,-0.879080090150582,0.379357852117173,1
ABCA11P,1.99073763690569,-0.0450913534268631,0.139703762648044,-0.322764058549102,0.746873934470343,1
ABCA13,7.88695588023278,-0.214267410398438,0.178116458281319,-1.20296244640134,0.228990853173924,1
ABCA2,0.40115908924989,-0.0445347934699527,0.0705606448706111,-0.631156270632408,0.527938351364007,1
ABCA3,0.297486536016184,-0.00893333078687344,0.0544919807683366,-0.163938448573781,0.869779598965364,1
ABCA5,8.83457830238276,-0.0364780842380899,0.178466778119635,-0.204397057101781,0.838043229735858,1
ABCA6,1.74053120850865,-0.0181210829002001,0.134854941803284,-0.134374629938543,0.893106342049715,1
ABCA7,6.0718585763914,0.0138123760271165,0.177018205461818,0.07802799712652,0.937805782393662,1
ABCA9,0.297545431130434,0.0109277423387703,0.0625148338258832,0.174802389608943,0.861234910613119,1
ABCB1,0.186583713945406,0.0052372686183503,0.0436442106565558,0.119999160016051,0.904483813360906,1
ABCB10,9.16800466580479,0.163036000040382,0.178116636076158,0.915332804571226,0.360016942512389,1
ABCB4,0.124056275804371,-0.00351188213812802,0.0344179956605189,-0.102036218865485,0.918727926603907,1
ABCB5,6.14461704460113,-0.271440776804269,0.176049892434421,-1.54184006051228,0.123112464479723,1
ABCB6,0.902753759655902,0.0187746567619782,0.106391883912809,0.176467001725099,0.859927070647215,1
ABCB7,35.2932087467568,-0.117289445280217,0.145586989323988,-0.805631367368979,0.420455433642471,1
ABCB8,1.24517407934683,-0.0569403350645645,0.12117836476415,-0.469888623892457,0.63843459238015,1
ABCB9,0.122437413619137,-0.00351188213812802,0.0344179956605189,-0.102036218865485,0.918727926603907,1
ABCC1,12.3916408030239,0.0299468455333691,0.173984903034211,0.172123241793459,0.863340641133986,1
ABCC10,4.98668083617414,-0.08358381866882,0.171813007609709,-0.486481319613992,0.626625946710457,1
ABCC13,0.594777368756496,-0.0224105714242691,0.0885401714123632,-0.253111904650546,0.800181739770256,1
ABCC2,0.561560062568206,-0.0444323176939148,0.0897969228741186,-0.494808911839909,0.620735013031064,1
ABCC3,2.16593710606613,-0.168275282924246,0.150888363897436,-1.11523035029148,0.2647517233121,1
ABCC4,1.77194178764198,-0.177475138538951,0.133363267396317,-1.33076477506769,0.183266421777358,1
ABCC5,13.0721862733638,0.108261568648967,0.173907083075317,0.622525355117828,0.533596476817164,1
ABCC6,1.35131763689349,-0.0579834525069419,0.124259701351513,-0.46663119157928,0.64076376680949,1
ABCC6P1,0.0607870130799812,-0.00351188213812802,0.0344179956605189,-0.102036218865485,0.918727926603907,1
ABCC9,1.2211527635518,-0.00254965472722711,0.118154943581265,-0.0215789085919498,0.982783858119933,1
ABCD1,1.43816655689689,-0.216740607255068,0.129216303406289,-1.67734721967382,0.0934746039372135,1
ABCD2,0.700966372131484,-0.0350831978092444,0.0912359695151969,-0.384532525884988,0.700583793327923,1
ABCD3,16.8057925330106,-0.268641942038865,0.167717914209783,-1.60174864625878,0.109211203157014,1
ABCD4,11.4270838834848,-0.119662370409918,0.176604929432342,-0.677570953396069,0.498043768175373,1
ABCE1,62.3714118913393,-0.0180520403176231,0.131962491212251,-0.136796753015126,0.89119145023489,1
