gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
S100B,5.13529849084713,-0.785271070782116,0.165317168566342,-4.75008783172443,2.03328316881508e-06,0.0330388182100762
SNRPG,299.086588663931,-0.352826322123265,0.0860500677875322,-4.1002445575573,4.12713764807826e-05,0.335309298218118
PHC3,64.5776228904534,0.496748360595279,0.124199466360771,3.99960140853053,6.3449255930517e-05,0.343662319871657
BRWD1,46.5165314421272,0.485954449006593,0.13239002146792,3.67062746586491,0.00024195577161788,0.982884833254733
PLIN2,48.6602507900348,-0.466435163455679,0.129439637155268,-3.60349560387111,0.000313966060008208,0.993780580937834
POLR3K,27.3572978178395,-0.554469630015733,0.155628639817543,-3.56277373281542,0.00036695695031245,0.993780580937834
A1BG,6.38806088849219,0.242075528725177,0.175925651320943,1.37601041637502,0.168818408397804,1
A1BG-AS1,0.867491005320987,0.0137707538168076,0.0970236889043698,0.141931872229477,0.887133818758018,1
A1CF,0.0829020109795684,0.000925574134755934,0.0336427696786416,0.0275118292458407,0.978051505045597,1
A2M,5.19133523189121,0.293418464639225,0.166036561030768,1.76719189326531,0.0771960968960796,1
A2M-AS1,3.98766327223929,-0.0358123211015387,0.167081845670002,-0.21433998982912,0.830281935218593,1
A2ML1,3.53966959085859,-0.0471578279630066,0.16675171429474,-0.282802657606585,0.777328116987622,1
A2MP1,0.688195696631502,0.0157197910200032,0.0980143294282571,0.160382579891133,0.872579711218435,1
AAAS,20.1377797537399,0.242789609031372,0.159185178682736,1.525202352634,0.127208633984662,1
AACS,1.70757962998184,0.0222744474604867,0.132461655126918,0.168157701480813,0.866459216354349,1
AADAT,0.233276590531274,-0.00633501281148538,0.0545394466601323,-0.116154695352203,0.907529941506719,1
AAED1,1.84157326369229,-0.0585274889264618,0.139321579586083,-0.420089185755315,0.674420302462119,1
AAGAB,31.5258506971711,-0.119576833169474,0.143896539120137,-0.830991724336337,0.405978304458429,1
AAK1,53.4142072720675,0.126105882957367,0.124878975134926,1.009824774916,0.312579248193651,1
AAMDC,16.0688360211952,-0.0716842864693365,0.168431654204394,-0.425598660821478,0.670400316276045,1
AAMP,7.77633875391872,0.0788442600130314,0.176649496838671,0.446331642172961,0.655357702847733,1
AAR2,7.07631035574015,-0.00839827307073918,0.17631217813023,-0.0476329721508853,0.96200875386855,1
AARD,1.12229698294349,-0.0736891160912967,0.120998702797454,-0.609007488407942,0.542519475343644,1
AARS,6.66556534944928,-0.11940864111317,0.176032807732951,-0.678331741968905,0.497561377116484,1
AARS2,7.1803082338556,0.0711719540343672,0.176302857227363,0.403691438435299,0.686439636184134,1
AASDH,24.2517325542266,-0.168624508365194,0.154331894611966,-1.09260959174487,0.27456524954389,1
AASDHPPT,56.6819335668957,-0.111173980862791,0.123805048994621,-0.897976146898672,0.369198266361743,1
AASS,6.45722660398799,0.383690765818465,0.175787352850791,2.18269835455195,0.0290580311901341,1
AATF,25.1605545798734,-0.182459206834751,0.155405196027452,-1.17408691278585,0.240360214926936,1
ABAT,1.57204154738207,-0.0592973334364607,0.135574104439066,-0.437379495751065,0.661836151753936,1
ABCA1,3.30022216545002,-0.138942699770134,0.162614303852789,-0.854430984717776,0.392866234074147,1
ABCA10,1.08908589144603,0.0890664922424838,0.103774465006504,0.858269828101759,0.390743485824183,1
ABCA11P,3.63297052848292,-0.0927082308207586,0.16729881039649,-0.554147579418195,0.5794778502081,1
ABCA13,4.61266797021756,-0.0221733677161974,0.170199850412982,-0.130278420705981,0.896346152335838,1
ABCA17P,0.12428004889365,0.000973019423657604,0.0344861026701152,0.0282148270845577,0.977490811628986,1
ABCA2,0.541401535958548,0.00407328481670479,0.080856889438219,0.0503764718752519,0.959822385298874,1
