gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HCP5,29.7066627281045,-0.730149609744534,0.138669423329214,-5.26539731842032,1.39886488908233e-07,0.000336357062579845
PTRH2,71.7669510725164,-0.587642809481934,0.109371423861585,-5.37290993144266,7.74760339079468e-08,0.000336357062579845
NRBF2,113.924438994124,-0.56500203448162,0.114883187895541,-4.91805672206237,8.74075874684475e-07,0.00140114362711921
SOCS3,27.42147656904,0.717553843099298,0.151333293796989,4.74154645746284,2.12093007904419e-06,0.00228288407174418
UTP6,82.0272235220789,-0.497742813491325,0.105483016187657,-4.71870099548376,2.37355382797274e-06,0.00228288407174418
COTL1,451.620063650527,0.429375788230869,0.0925177715736723,4.64100875893833,3.46712426915491e-06,0.0025077951295708
TRIM21,59.0336248276028,-0.648860820479437,0.140131918566764,-4.6303570743613,3.65035681160233e-06,0.0025077951295708
CCR2,155.944504140899,-0.625597820860663,0.139371774634688,-4.48869810620149,7.16597651739981e-06,0.00430764763402196
IST1,93.3873635548661,-0.433635806634148,0.0988360560555636,-4.38742523670074,1.14700401465715e-05,0.00612882478498472
C3AR1,217.766101439275,-0.582751958224252,0.134174617988048,-4.3432354566209,1.40399517174335e-05,0.00664994764552098
HIST1H1C,99.5805236101226,0.595357652638265,0.138755399254236,4.290698998656,1.78111597477382e-05,0.00664994764552098
RNF34,29.118597095343,-0.615812895473586,0.143843225596497,-4.28113936488769,1.85938860955809e-05,0.00664994764552098
RTN4,96.8234151220144,0.466690219370305,0.109240027816308,4.27215397779893,1.93593817919097e-05,0.00664994764552098
VTA1,77.9186777180553,-0.54683074064452,0.127681558040017,-4.28276995549455,1.84580979993716e-05,0.00664994764552098
GIMAP7,344.081475219018,-0.680878080468226,0.166749201522301,-4.08324642188567,4.44108858460122e-05,0.0125630558843219
KLF10,253.64845469198,0.535674826165348,0.13056111165742,4.10286661445492,4.08062526324449e-05,0.0125630558843219
RNF130,206.52167263779,0.412853472827093,0.100858697488315,4.09338493465003,4.25121088312323e-05,0.0125630558843219
ZFP36L1,196.084613368035,0.447460792755095,0.11033445719682,4.0554945764304,5.00283333740071e-05,0.0133659030664222
ACADVL,32.7377786975492,0.563844544716911,0.14034511207087,4.01755740828498,5.8804512108027e-05,0.0141395449363751
TCHP,125.678862069332,-0.404431370939796,0.100634373710087,-4.01881937582187,5.84904868966872e-05,0.0141395449363751
CAST,152.999869014454,0.371063992433289,0.0936032535079174,3.96422109838204,7.36359811062616e-05,0.0168626396733339
CCDC88A,162.176567536692,0.360657256391666,0.0928560812765906,3.8840456266658,0.000102732616078348,0.021400098360303
PABPC1,878.938500598529,0.319728807255725,0.0822138277824515,3.88899064646119,0.000100661996961291,0.021400098360303
PPWD1,43.7467960440488,-0.473490909554857,0.122203835805122,-3.87459940545509,0.000106800241348986,0.021400098360303
CTDSPL,39.1723208233196,-0.603064934300657,0.157301839741591,-3.83380725420217,0.000126175022929883,0.0242710274107923
ATG4C,51.259032566841,-0.443561072108154,0.116411886022619,-3.81027305082893,0.000138813391319066,0.0247242073649404
C14orf119,117.260044200694,-0.46104200122418,0.120753657758469,-3.81803756327078,0.000134517447540871,0.0247242073649404
RNF4,79.1140622229865,-0.399730259266545,0.106021034843577,-3.77029199777482,0.000163056655041631,0.0261379818031734
SELL,1259.66970873173,-0.365914935100178,0.0969494929972157,-3.77428415340642,0.000160467774930187,0.0261379818031734
ZNF143,44.1427741587242,-0.465631552499124,0.123079720331682,-3.78317038131315,0.000154843340556551,0.0261379818031734
TNFAIP8,115.404915533317,-0.444548089623534,0.118772322418461,-3.74285928380934,0.000181938124447584,0.028223885176401
ACADM,72.024781432968,-0.42618711422243,0.117493424225473,-3.62732737625015,0.000286370107705654,0.0306034188434776
ARHGAP25,77.8009213125539,-0.402322136562374,0.109878452106373,-3.66151987810027,0.000250723403307175,0.0306034188434776
CACNA2D3,73.6492465587764,-0.475346540096175,0.129150159210455,-3.6805726218392,0.000232710768193932,0.0306034188434776
CRK,44.5281019787759,0.463635759164786,0.127670876579463,3.63149193916763,0.000281787460519301,0.0306034188434776
CXCR2,25.7526498375911,-0.530515011347214,0.145260003007035,-3.65217541212306,0.000260028161331433,0.0306034188434776
DYNLL1,657.832059326599,-0.34969228077965,0.0943049839277718,-3.70809968057976,0.000208820459398406,0.0306034188434776
FAM118B,25.6955130905718,-0.569430990048032,0.156132304606766,-3.64710552042511,0.000265211030571453,0.0306034188434776
IFNGR1,604.535192470364,-0.31673468222037,0.0861325196076299,-3.67729498293131,0.000235720394420787,0.0306034188434776
IRF2BP2,126.847917277905,0.426229670183805,0.115674460413088,3.68473445790615,0.000228941198768843,0.0306034188434776
LYPLAL1,62.761610533707,-0.449957616238118,0.123347470587974,-3.64788685242799,0.000264406024206995,0.0306034188434776
MAP1LC3B,31.3453630469412,0.503411058004588,0.137859807685786,3.65161584406078,0.000260595501130326,0.0306034188434776
OTUD1,50.5586761866259,0.567163759275944,0.155396256804687,3.64979035491695,0.00026245442369366,0.0306034188434776
PSMC6,137.27320691809,-0.421350576506655,0.116126545437648,-3.6283743300785,0.000285211523893967,0.0306034188434776
TAF10,22.6490478716044,0.538521163962032,0.148045906679563,3.63752822378016,0.000275267036620088,0.0306034188434776
TNFAIP8L2,109.921035441441,-0.479441837627702,0.132384139633881,-3.62159575122547,0.000292791396315454,0.0306094309756743
SACM1L,33.4854637205028,-0.484372541092175,0.134593437210939,-3.59878275738698,0.000319710114840771,0.0327124668567929
