gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PHC3,64.5776228904534,0.481831185373723,0.110127489155956,4.37521266548974,1.21314146514217e-05,0.0190678318260593
PLEK,87.4675659868062,-0.492799735083398,0.117200130428878,-4.20477121723385,2.61346379194892e-05,0.0190678318260593
RTKN2,43.0884268583436,0.630359624430644,0.147839749126891,4.26380339626797,2.00976294653876e-05,0.0190678318260593
SNRPG,299.086588663931,-0.314159097258102,0.0740324410692575,-4.24353287181501,2.20028125156394e-05,0.0190678318260593
SYNE2,226.019038448362,0.474850657728314,0.108463146143923,4.37799081632962,1.19778396301996e-05,0.0190678318260593
C14orf119,47.9265846825153,-0.53429623963867,0.135501046847531,-3.9431152162232,8.04299908564505e-05,0.0357703024475933
CCR1,22.2878955314732,-0.600744465587242,0.158040589846953,-3.80120364122284,0.000143994894105452,0.0357703024475933
CD3G,321.753350394181,0.255192654240777,0.0657369000918883,3.88203054728872,0.000103587860911421,0.0357703024475933
CLEC7A,70.3426994074262,-0.486662361661927,0.126915450924704,-3.83453990917663,0.000125799546539808,0.0357703024475933
DYNLL1,212.468868854003,-0.357269226094624,0.0904790321746328,-3.94864111062839,7.85960807803263e-05,0.0357703024475933
INPP4B,148.872093371421,0.352189004528427,0.0921042288948409,3.82380927297633,0.000131405579303827,0.0357703024475933
OAS1,36.6665249482272,-0.552017399506448,0.141427206356788,-3.90319100353179,9.49327258800892e-05,0.0357703024475933
PABPC1,568.655729760079,0.296365572880109,0.077360574077259,3.83096398152542,0.000127642191666989,0.0357703024475933
PRDX3,110.099189904135,-0.39961554860334,0.105274312583502,-3.79594545712535,0.000147081835722012,0.0357703024475933
ZC3HAV1,112.551060307976,0.348682302479675,0.0893216945696012,3.90366869056627,9.47454584776954e-05,0.0357703024475933
ARID5B,248.206587468749,0.440357905554918,0.11690440325178,3.76682052434336,0.000165339771855173,0.0376974679829794
CD36,79.6948156701126,-0.49123039362641,0.134695413721485,-3.64697193508121,0.000265348893338456,0.0461781885702919
FERMT3,114.185723171004,-0.387262606514575,0.105353066695329,-3.67585509052622,0.000237054060231524,0.0461781885702919
HSBP1,84.8367182379723,-0.402339308744976,0.11033551228045,-3.64650782354018,0.000265828388151351,0.0461781885702919
PAG1,67.8095769066869,0.442693531056091,0.119847096913999,3.69381939533973,0.000220910729315966,0.0461781885702919
TNRC6B,220.679975183358,0.327422334675252,0.0895420783758531,3.6566309450725,0.000255551893915994,0.0461781885702919
SDHAF2,93.8763386962055,-0.335034977202532,0.0926515137444307,-3.61607666904061,0.000299101821746059,0.0495965202604375
MYCBP2,79.7080499761288,0.369818387679223,0.102859936710283,3.59535888808545,0.000323944684858515,0.0513804439288637
VTA1,42.4992508462712,-0.431715241195814,0.120923079351948,-3.5701641366517,0.00035675761405029,0.0542271573356441
HCP5,34.8192679536212,-0.478564282370262,0.13460011740056,-3.55545219136837,0.000377329556732705,0.0550599289184364
CD96,112.937615461729,0.316974310103161,0.0901338823633152,3.51670539193562,0.000436938459252802,0.0569268392626507
SON,838.099240390785,0.204454798655104,0.0580750417896795,3.52052779222343,0.000430688855472976,0.0569268392626507
SORL1,148.73584170583,0.314360109235406,0.0893858068470274,3.51689065998357,0.000436633605107779,0.0569268392626507
S100A11,437.057534959682,-0.37020586673435,0.105888171839594,-3.49619660348051,0.000471940839531714,0.0573880060870564
WNK1,84.8688540987517,0.376484569802415,0.107652878827403,3.4972085642598,0.000470154104874982,0.0573880060870564
EVI2A,245.158674399233,-0.302948285902925,0.0869588111752468,-3.48381356424478,0.000494323696375617,0.0581707369154274
NFATC3,27.3068480241421,0.495753250578873,0.143028916260367,3.46610506141578,0.000528056893508037,0.0601984858599163
BET1,26.5135966140941,-0.467133035742687,0.135334646590316,-3.45168844425174,0.000557090587244628,0.0609105207217133
POLR3K,27.3572978178395,-0.483728008639779,0.140349493442206,-3.44659604232182,0.000567696739182635,0.0609105207217133
TNFSF10,153.69679261816,-0.288813194476652,0.0845775174864701,-3.41477502603282,0.000638347125848294,0.0665340090027022
CASP1,181.601639315495,-0.307053916392192,0.0906469904014428,-3.38735919452329,0.000705689302026407,0.0713208514096157
CBLL1,54.821258968118,0.421804415757042,0.124826586788813,3.37912320290123,0.000727174123723633,0.0713208514096157
GIMAP4,540.097395735302,-0.377113492395264,0.111796046109246,-3.3732274576755,0.00074292553551683,0.0713208514096157
LOC100190986,27.5830123729126,0.493802103858703,0.146766410152537,3.36454440321519,0.000766701462448043,0.0717160752566785
CHD7,25.3066154260162,0.480086151118032,0.144684775318971,3.31815251507725,0.000906149916563897,0.0751280658096613
IFITM3,46.3983612667876,-0.476838084668461,0.143402099773554,-3.32518202607518,0.000883608260003474,0.0751280658096613
KMT2C,63.662842675289,0.393218598361266,0.118073843115335,3.33027695200171,0.000867596424399202,0.0751280658096613
PLIN2,48.6602507900348,-0.379156707974178,0.114099599835825,-3.32303275839475,0.000890444569600519,0.0751280658096613
SRRM1,566.915600974465,0.227574116609667,0.0680560637399816,3.34392123351636,0.000826031864854062,0.0751280658096613
BCL11B,227.299253973498,0.274387886860803,0.0828976643412208,3.30995920140013,0.000933095708723583,0.0756429587871918
FOXP1,192.814564019367,0.297027041810359,0.0901002279846305,3.29662919233708,0.000978525988897789,0.0759502724999816
SMIM7,50.1270555784863,-0.374592274406422,0.113480171981523,-3.30094912499262,0.000963583534246847,0.0759502724999816
PTPRE,110.792865669163,-0.350531133614261,0.106968036839497,-3.2769708033459,0.00104927218881358,0.0797446863498317
BRWD1,46.5165314421272,0.394668110178297,0.121021835314903,3.26113142435295,0.00110968594145394,0.0826149860086528
CAPZA2,158.698680731521,-0.260079728945548,0.0810476542192217,-3.20897293636743,0.00133210030199271,0.0950819372288657
CBR1,36.5839911398229,-0.416796998832761,0.130504755138536,-3.19373036170454,0.00140447232075621,0.0950819372288657
GATA3,28.1920810609185,0.451589475110376,0.140960695647686,3.2036552674163,0.00135694849020909,0.0950819372288657
IKZF1,86.7880567520548,0.306516725946563,0.0961494357395217,3.1879201743518,0.00143300090989466,0.0950819372288657
PUM1,79.8554359069306,0.303432966112296,0.095185278404928,3.18781403171886,0.00143352701414134,0.0950819372288657
SDCBP,225.610233913098,-0.314977430038403,0.0980024850524575,-3.21397390963919,0.00130911567947303,0.0950819372288657
IER3IP1,75.6959471230621,-0.34129620624544,0.107334078728285,-3.17975623668813,0.00147398988168259,0.0960199122924656
AOAH,34.8716920041932,-0.4811423709384,0.152847962727833,-3.14784942076814,0.0016447639654307,0.0986915141304905
HERC1,45.0753030633537,0.391710743983369,0.12375295157582,3.16526385023939,0.00154942377620767,0.0986915141304905
KIAA1147,20.8405898448925,0.476080761881956,0.150991381602493,3.15303268854979,0.00161583711624729,0.0986915141304905
LINC00936,37.7462366208951,-0.425234099280107,0.135129117789791,-3.14687245972855,0.00165026928781796,0.0986915141304905
TXNDC17,67.6907252022955,-0.335973201233532,0.106669249498375,-3.1496724952457,0.00163453583586805,0.0986915141304905
INO80D,39.6608048280606,0.392713927457767,0.125330409774431,3.13342889538597,0.00172776774379747,0.101659624667309
RNASE6,69.2166411627984,-0.398875537699345,0.127520377979068,-3.12793566032888,0.00176038712330864,0.101934797235395
NAGK,101.514628886275,-0.376128323687577,0.120539497382745,-3.12037408363558,0.00180621500564249,0.102954255321622
GIMAP7,848.313785433309,-0.298186762383731,0.0959230045296881,-3.10860532200534,0.00187972635302854,0.103897602058305
MAP3K1,73.0466267150915,0.32727822885019,0.105148844371895,3.11252330736665,0.00185495366193966,0.103897602058305
PHACTR2,36.9335153841982,0.403649500437046,0.130081003998141,3.10306261506727,0.00191529112769572,0.104283313937821
GCA,66.8053317875091,-0.404375835859514,0.130885029945271,-3.08954993576119,0.00200460005321592,0.107540896972524
TIMMDC1,45.3732971408078,-0.349323999732214,0.113308270559914,-3.08295235648753,0.00204957965639106,0.108360385311806
DENND2D,99.0907195201127,-0.336877067535747,0.109749753582638,-3.06950181243087,0.00214416104699828,0.109049283581341
GK5,39.7944300126543,0.395674412714547,0.128951019273813,3.06840857050055,0.00215202169378839,0.109049283581341
RAC1,93.6770270778295,-0.279468153965934,0.0910802851989275,-3.06837152909161,0.002152288491737,0.109049283581341
LAPTM4A,164.777206551456,-0.275840406909749,0.0900524725118703,-3.06310753292631,0.00219051329682773,0.10946565077846
MAEA,113.582333080592,-0.270438473565204,0.0888275570583565,-3.04453350425404,0.00233041471521491,0.114883147041946
MACF1,96.7329456759454,0.336665451656726,0.110861595261744,3.03680865192189,0.00239097182193878,0.116296869419102
ANKRD12,424.493058622696,0.204369694985075,0.0679765377854124,3.00647402240796,0.00264296635196315,0.120449420849997
CALM2,1306.09365413973,-0.203092563395788,0.067255809548372,-3.01970290387656,0.0025302274864746,0.120449420849997
DUSP6,32.985242153426,-0.419539483045153,0.139626011219402,-3.0047372934396,0.00265810325529057,0.120449420849997
MS4A7,45.1087795876352,-0.43722763488263,0.145603174556743,-3.00287158033247,0.00267445260111013,0.120449420849997
RICTOR,37.2818478003559,0.393358420882865,0.130950950326779,3.00386075779722,0.00266577297410752,0.120449420849997
ZNF800,24.6880495696557,0.438690713060206,0.145958250704187,3.00559037220375,0.00265065815645959,0.120449420849997
SEPT6,132.338401638905,0.263939357578734,0.0895318667679708,2.94799345871738,0.00319843832490165,0.142291500112698
DYRK2,29.9292153012543,0.400325422069245,0.136603825004099,2.93055792586506,0.00338353904898614,0.145350714344086
ETS1,301.314875064943,0.244464600828868,0.0834664132493712,2.92889788013874,0.00340166160139708,0.145350714344086
NUMB,29.4858524966304,-0.385770239396856,0.131795269129123,-2.9270416301431,0.00342203071860205,0.145350714344086
TMEM123,228.612590841346,0.245548986443003,0.0839016594158684,2.92662848568835,0.00342657934034851,0.145350714344086
GRN,44.4923022551296,-0.415522427483808,0.142300831186287,-2.9200281124138,0.00349999811260238,0.145709466259398
HLA-DMA,80.3387100737641,-0.373679010419431,0.128183967413612,-2.91517744347605,0.00355486362310483,0.145709466259398
HMGCL,32.9255392298298,-0.383536907603229,0.131409694269116,-2.91863480648374,0.00351567826509239,0.145709466259398
FCGRT,79.2580464773264,-0.374445256511036,0.128947821817181,-2.90385096261583,0.00368603580223652,0.146159332679987
NOP10,211.624828682499,-0.245207540786734,0.0844219209629405,-2.90454822621693,0.00367783538784177,0.146159332679987
PGD,54.4294064404741,-0.360314469529768,0.123904000301722,-2.90801320903567,0.00363732973580858,0.146159332679987
PCGF5,67.0481547881165,0.332753358923118,0.114884354202746,2.89642015426992,0.00377446679413355,0.148056503924722
SRGN,852.146530153901,-0.281044607396279,0.0975288293562123,-2.88165672910722,0.00395590441967351,0.153522758754989
CD68,88.6081685917707,-0.380913674209826,0.133165907957793,-2.86044438889387,0.00423047741729265,0.154327816182836
COPB2,34.8634835303502,-0.36482335935026,0.127431973778439,-2.86288714310086,0.00419800060354158,0.154327816182836
GLS,62.5280425924458,0.340736227166014,0.118731107467254,2.86981427558896,0.00410712958663409,0.154327816182836
LOC441081,28.2769922660098,0.397948631058208,0.138842789065282,2.86618148293677,0.00415456000022601,0.154327816182836
RGS19,22.5754068008675,-0.393463147569908,0.137041509260953,-2.8711238637972,0.00409015222400565,0.154327816182836
TNFAIP8L2,21.8288987113185,-0.443117292423687,0.154586684338637,-2.86646482081856,0.00415084289730554,0.154327816182836
CELF2,171.327113113753,0.211594571933174,0.0742251577713444,2.85071232297014,0.00436214158348464,0.157384222070041
KMT2A,63.9052670696565,0.34502748082176,0.121325272485899,2.8438220145919,0.00445759407581834,0.157384222070041
MRPL51,133.640613107455,-0.245957439906314,0.0866408035658088,-2.83881762153204,0.00452810292988127,0.157384222070041
NFKBIA,83.6651403500708,0.340676075917285,0.120011898950606,2.83868582112427,0.00452997349708177,0.157384222070041
SLC25A32,23.1290889570389,0.404157516492553,0.141971873972995,2.84674354984868,0.00441689283229393,0.157384222070041
BID,21.0249007785279,-0.417261227855003,0.147172141697136,-2.83519165409496,0.00457982017370195,0.15761494333646
LGALS2,129.077378041641,-0.437395787659542,0.154654532959819,-2.82821188159536,0.00468088145164044,0.158447637704579
RPS6KA3,34.1836871398077,0.375118605247764,0.132666604628009,2.8275284974661,0.00469088401099081,0.158447637704579
PSMG2,132.142775871282,-0.242154456073928,0.0859146655953634,-2.81854622136824,0.00482416647992302,0.159986902897811
TTN,85.2711355529293,0.320482385288501,0.11361711688281,2.82072274038658,0.00479155961602076,0.159986902897811
SAT1,452.653371252148,-0.258323307641625,0.0919131301282834,-2.81051583469176,0.00494621549795134,0.162556703932671
GIMAP2,227.655899375921,-0.235776444426282,0.0840484908571139,-2.80524304507874,0.00502786518507856,0.163764751742559
PPWD1,69.7647760872574,-0.289851597729933,0.103749325881635,-2.79376849215018,0.00520977607578927,0.168188169243179
OAZ1,231.425393253863,-0.239557940213625,0.0863044828779228,-2.77572997630353,0.00550779309498099,0.176249379039392
PHIP,89.1902750065537,0.264504871721262,0.0954619412856299,2.7707887369464,0.00559206960556413,0.176825085445838
RBX1,284.225732427229,-0.198065706467116,0.0716126783885677,-2.76579107113434,0.00567849031419771,0.176825085445838
RPA2,145.059844559554,-0.310785659745451,0.112331065239125,-2.76669378220411,0.00566279185092483,0.176825085445838
ZNF226,23.9427277594963,-0.380531076335413,0.137702263731974,-2.76343370125045,0.00571967107527656,0.176825085445838
ZNF264,30.4050212061388,0.375961680226318,0.136207627491666,2.76021018168986,0.00577641850542076,0.177078779056932
CHI3L2,30.7891158985652,-0.420624640843881,0.152752490272215,-2.75363524414102,0.00589374134797088,0.179169736978315
