gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ARID5B,248.206587468749,0.612845599992964,0.11933284200833,5.13559879810946,2.81247079468417e-07,0.000848803685835682
RTKN2,43.0884268583436,0.762010882900397,0.156363253350816,4.87333735114064,1.09728611742308e-06,0.00165580475119143
SYNE2,226.019038448362,0.562131290441127,0.119244053790165,4.71412429025864,2.42752461902499e-06,0.00244208976673914
EVI2A,245.158674399233,-0.418027313553631,0.0936412908831439,-4.46413446046245,8.03930691037631e-06,0.00606565706387893
RPLP0,5575.49262474194,0.261931174801777,0.0601127406272665,4.35733210744625,1.31657419443993e-05,0.00794684183763941
HCP5,34.8192679536212,-0.626297058855478,0.14760645309222,-4.24301950040212,2.20532264343695e-05,0.0110927728964879
PAG1,67.8095769066869,0.545376204295615,0.129636274235423,4.20697221909661,2.58814943570899e-05,0.0111586214242425
PLEK,87.4675659868062,-0.517836512166116,0.133562423495924,-3.8771122791278,0.000105703585569722,0.0398766776561775
ARGLU1,314.185369675735,-0.304786706095504,0.081412972296496,-3.74371181272573,0.000181321612254356,0.0434727171296694
BIRC3,408.027957377601,0.364869980656637,0.100839089222865,3.61833871635071,0.000296500184259512,0.0434727171296694
C1orf162,215.912337985942,-0.355829891650745,0.0953943336795895,-3.73009462853325,0.000191407869083013,0.0434727171296694
CBLL1,54.821258968118,0.498204317597703,0.137065056508107,3.63480182542542,0.000278194396999985,0.0434727171296694
CD36,79.6948156701126,-0.567434224804676,0.1491956865834,-3.80328840463818,0.000142787958810128,0.0434727171296694
CD96,112.937615461729,0.373929443069172,0.101431889384671,3.68650771801241,0.000227352549889727,0.0434727171296694
CLEC7A,70.3426994074262,-0.536800271219796,0.142615002378214,-3.76398178500328,0.00016722907014073,0.0434727171296694
GCA,66.8053317875091,-0.524727989496518,0.144129563751226,-3.64066868614284,0.000271930877392854,0.0434727171296694
GIMAP4,540.097395735302,-0.467773638705129,0.124061433440518,-3.77050003157835,0.000162920781925598,0.0434727171296694
HBB,62.4368720719023,0.485011263183501,0.13254350670383,3.65926083627215,0.000252943783707567,0.0434727171296694
NFKBIA,83.6651403500708,0.465719502935907,0.128895532119405,3.61315474072816,0.00030249405557424,0.0434727171296694
OAS1,36.6665249482272,-0.573002981986752,0.157017394491125,-3.6492962059636,0.000262959756871852,0.0434727171296694
SORL1,148.73584170583,0.3681300720897,0.101044661589535,3.64324117967879,0.000269226355581208,0.0434727171296694
C14orf119,47.9265846825153,-0.537056674925001,0.151565317452897,-3.54340085152993,0.000395001807219062,0.0479482283700438
HSBP1,84.8367182379723,-0.446210528329672,0.125978887881998,-3.54194687563546,0.000397185457008315,0.0479482283700438
NFKBIZ,70.2005956339445,0.432631351833382,0.12190982320659,3.5487817179444,0.000387017758867276,0.0479482283700438
SDHAF2,93.8763386962055,-0.379850068233966,0.106724728010736,-3.55915705117333,0.000372047012066226,0.0479482283700438
FCGRT,79.2580464773264,-0.490838822059166,0.141878041336944,-3.45958273340889,0.000541013046997041,0.0516232469172008
IFITM3,46.3983612667876,-0.546094215129956,0.157779096057796,-3.46113159965066,0.000537909789486381,0.0516232469172008
