gene,cv,mean
DAD1,0.21464343049619,244.739583333333
UQCRB,0.216296733157815,607.21875
TMA7,0.219829460574378,817.927083333333
RPLP1,0.221111621459489,9957.95833333333
NDUFS5,0.221963928644416,252.145833333333
PTMA,0.226747283908075,2388.375
SEC62,0.228699288573892,363.364583333333
UBA52,0.232209865382285,2082.84375
SRRM1,0.23282164957168,326.3125
RSL24D1,0.233112213592312,250.71875
COMMD6,0.236783630447062,933.333333333333
COX7C,0.237098151538371,669.697916666667
CUTA,0.237242403539334,118.78125
RPL26,0.238542504362145,5042.95833333333
ACP1,0.238643346608906,150.552083333333
SKP1,0.23871728868494,414.770833333333
UBXN4,0.238743168631235,69.1145833333333
OST4,0.238764583113002,246.729166666667
SNRPF,0.239222767897514,135.833333333333
SON,0.239557444212765,437.270833333333
RPL15,0.239686807622125,3958.51041666667
RPS9,0.239827680932101,493.927083333333
EAPP,0.239846503386164,101.28125
RPL36AL,0.239911008862672,893.083333333333
HNRNPA1,0.240260039967388,408.739583333333
SSR2,0.240405887365018,305.770833333333
MIER1,0.241244023087272,74.9479166666667
PPIA,0.241319757817141,548.770833333333
C19orf53,0.241689664355198,166.25
ATP6V1G1,0.24182551584595,427.65625
HNRNPH1,0.242623786749135,161.916666666667
PNISR,0.24272954234871,234.572916666667
SPCS1,0.243537211553853,223.875
C9orf78,0.244390859307493,170.895833333333
RBM25,0.244548928379814,111.072916666667
RPS11,0.244586382930773,2462.02083333333
RNPC3,0.245130240906713,47.7708333333333
RPS13,0.245197656608842,4369.76041666667
EIF3H,0.245897374682805,452
U2SURP,0.246316144737267,171.739583333333
COX6C,0.246406349496111,462.375
DDX46,0.246642779846283,167.041666666667
IK,0.246847503204926,227.958333333333
MRPS21,0.247019657446788,147.84375
KRTCAP2,0.247937252690283,92.6875
MBNL1,0.247937891245346,234.489583333333
USP16,0.248294585812166,55.3125
SSR4,0.248704579539055,207.8125
C11orf58,0.2490656999208,320.760416666667
DGUOK,0.249596435974765,101.020833333333
NOL7,0.249700411810738,112.895833333333
SEPT7,0.249950103257421,206.59375
TOMM5,0.250417625401782,83.8020833333333
NDUFA5,0.251429497268889,92.2083333333333
ARL6IP1,0.251463336063537,183.302083333333
LOC100505876,0.251605441603193,34.9270833333333
PCNP,0.251649771180575,105.21875
HNRNPDL,0.252046658794511,307.96875
OCIAD1,0.252133406955533,72.7916666666667
RWDD1,0.25307851302239,103.177083333333
ATP5O,0.253127481837442,368.239583333333
RPL29,0.253458167642145,794.1875
PCBP2,0.253465967298662,191.614583333333
NDUFB9,0.253474959825495,180.927083333333
CELF2,0.253594095150654,88.2083333333333
STAG2,0.253798680436215,111.25
MALAT1,0.254536958883594,52640.7291666667
CHCHD7,0.254569650590016,62.1354166666667
PPIG,0.254676810729169,136.875
TTF1,0.254805072378593,28.7395833333333
DAP3,0.254931470939594,78.9791666666667
SSBP1,0.255883324844502,152.739583333333
ELF1,0.255900505609563,200.677083333333
THOC7,0.256734999000033,108.625
BTF3,0.256816366963783,1025.1875
RPL8,0.257152419497897,479.052083333333
PFDN5,0.257336345926361,1674.1875
ZFAS1,0.257366157441029,383.53125
NACA,0.25750735225684,1045.125
CYP20A1,0.257743698350798,57.3854166666667
RPL23,0.258073894452683,1468.75
PRPF38B,0.25838745540423,63.71875
HNRNPR,0.258660132921061,143.520833333333
SMARCE1,0.258695916592091,60.7916666666667
SS18L2,0.259262309376961,66.21875
TMEM14B,0.25941685552064,105.84375
SRSF11,0.259488345849371,90.6458333333333
PNRC2,0.260112944507215,114.979166666667
YTHDC1,0.260318101673096,53.7916666666667
HMGB1,0.260790953033865,706.916666666667
DHX9,0.262103272855298,58.8541666666667
HDAC1,0.262551538062328,62.375
PNRC1,0.262711105111646,79.84375
EIF3E,0.262942723941333,652.4375
TRA2B,0.262972482701422,70.53125
HBS1L,0.263198484978814,28.7083333333333
RBM39,0.263231892478059,199.84375
RBMX,0.263336299135621,115.489583333333
AKAP9,0.26342275250032,110.53125
SLTM,0.263651820225655,90.5833333333333
RSL1D1,0.264050429097575,401.375
DDX18,0.264277503181493,119.697916666667
UBB,0.264312960847159,933.447916666667
MYL12A,0.264361533533942,783.760416666667
MDM4,0.264441962974758,61.0833333333333
ARHGEF6,0.265562864676134,42.9583333333333
APEX1,0.265710465953962,126.895833333333
LSM5,0.265827288490348,139.635416666667
CCAR1,0.266174381772834,38.1145833333333
RPF1,0.266323185897106,45.65625
PNN,0.26639517320206,129.3125
HNRNPC,0.266463734084418,371.416666666667
PRRC2C,0.26649568120816,191.333333333333
EIF3D,0.266969941054828,136.46875
CBX3,0.267828675463865,85.78125
HAX1,0.268120559753742,51.9791666666667
TRMT112,0.268368523918168,123.15625
FUS,0.268519051898508,29.5416666666667
MKI67IP,0.268659615731826,62.78125
FUBP1,0.268933545451226,45.59375
PSMC5,0.269376130238933,78.8020833333333
ADSL,0.269382551166699,46.625
GNB2L1,0.269504516033586,2256.34375
ATP5L,0.269507118996574,664.864583333333
SF3B1,0.269588415973479,323.635416666667
HP1BP3,0.26983784201535,72.2708333333333
EIF3K,0.270091772850863,366.708333333333
MINOS1,0.270096643968697,182.9375
RSRC1,0.270447811845064,51.875
XRCC6,0.270700145625121,183.979166666667
PRPF8,0.271113697853914,40.3854166666667
SRSF10,0.271566662255549,74.3958333333333
N4BP2L2,0.272264419641244,190.3125
